Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
6323,Carpenter Rd.,Starbucks,13531-106377,734-677-2415,CO,3650 Carpenter Rd.,3650 Carpenter Rd.,,,Pittsfield,MI,US,48104,"(42.2371635437012, -83.6808700561523)",42.237163543701172,-83.680870056152344,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6325,1515 N. Sheridan - Wilmette,Starbucks,224-119704,847-853-0319,CO,"1515 North Sheridan, Building 4",1515 North Sheridan,Building 4,,Wilmette,IL,US,600911822,"(42.086498260498, -87.7003326416016)",42.086498260498047,-87.700332641601562,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6327,S McCarran & E Greg St - Sparks,Starbucks,10913-101634,775 356-7087,CO,"1560 S. Stanford Way, Suite A",1560 S. Stanford Way,Suite A,,Sparks,NV,US,894316331,"(39.5206565856934, -119.74072265625)",39.520656585693359,-119.74072265625,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6328,Hwy 20 & Tharp - Yuba City,Starbucks,14071-108147,530-751-7187,CO,"1615 Colusa Hwy, Ste 100, Sutter Buttes Marketplace",1615 Colusa Hwy,Ste 100,Sutter Buttes Marketplace,Yuba City,CA,US,959939437,"(39.1419944763184, -121.644569396973)",39.141994476318359,-121.64456939697266,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6329,Greenmount & I-64,Starbucks,14263-116745,(618) 628-7856,CO,1126 Central Park Drive,1126 Central Park Drive,,,OFallon,IL,US,622691769,"(38.5732955932617, -89.9306488037109)",38.573295593261719,-89.930648803710938,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6330,Veterans Blvd & Kingman St,Starbucks,11875-105707,504-456-8829,CO,4312 Veterans Blvd.,4312 Veterans Blvd.,,,Metairie,LA,US,70006,"(30.0042953491211, -90.1801605224609)",30.004295349121094,-90.180160522460938,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6331,Higuera & Tank Farm,Starbucks,14426-120264,805-787-0389,CO,3971 S. Higuera Street,3971 S. Higuera Street,,,San Luis Obispo,CA,US,934011580,"(35.2455024719238, -120.673286437988)",35.245502471923828,-120.67328643798828,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6333,"50th and Kipling-Wheatridge, CO",Starbucks,13822-108298,303-940-1138,CO,4975 Kipling St,4975 Kipling St,,,Wheat Ridge,CO,US,800332340,"(39.786865234375, -105.110107421875)",39.786865234375,-105.110107421875,Mountain Standard Time,-420,GMT-07:00 America/Denver,12/08/2013 10:41:59 PM
6334,Hampden & Dayton - Denver,Starbucks,11034-104012,303 369-5081,CO,9925 East Hampden Ave,9925 East Hampden Ave,,,Denver,CO,US,802314903,"(39.6534233093262, -104.872924804688)",39.653423309326172,-104.8729248046875,Mountain Standard Time,-420,GMT-07:00 America/Denver,12/08/2013 10:41:59 PM
6336,Dupont & Auburn,Starbucks,13343-106747,260-489-3238,CO,2132 East Dupont Road,2132 East Dupont Road,,,Fort Wayne,IN,US,468251584,"(41.1783447265625, -85.1138763427734)",41.1783447265625,-85.113876342773438,US Eastern Standard Time,-300,GMT-05:00 America/Indianapolis,12/08/2013 10:41:59 PM
6337,Danbury Fair Mall,Starbucks,14159-108196,203-798-8925,CO,"7 Backus Avenue, Danbury Fair Mall",7 Backus Avenue,,Danbury Fair Mall,Danbury,CT,US,068107422,"(41.3800277709961, -73.4809951782227)",41.380027770996094,-73.480995178222656,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6339,State & Bell,Starbucks,13888-108514,815 397 5275,CO,7474 East State Street,7474 East State Street,,,Rockford,IL,US,611082644,"(42.2707023620605, -88.9708480834961)",42.270702362060547,-88.9708480834961,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6340,Burr Ridge-I-55 & County Line Rd,Starbucks,13442-106592,630-887-4695,CO,515 Village Center Dr.,515 Village Center Dr.,,,Burr Ridge,IL,US,605274516,"(41.7521018981934, -87.9129180908203)",41.752101898193359,-87.912918090820312,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6341,Montgomery-Orchard & Rte 30,Starbucks,13371-106590,630-844-2289,CO,2080 Orchard Rd.,2080 Orchard Rd.,,,Montgomery,IL,US,605381059,"(41.719165802002, -88.3741607666016)",41.719165802001953,-88.374160766601562,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6346,Sycamore & Main,Starbucks,11520-103609,(417) 334-1390,CO,201 East Main Street,201 East Main Street,,,Branson,MO,US,656162715,"(36.6441116333008, -93.2157440185547)",36.644111633300781,-93.215744018554688,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6348,118-24 Queens Blvd,Starbucks,11933-106885,718 261-4246,CO,118-24 Queens Blvd,118-24 Queens Blvd,,,Kew Gardens,NY,US,11415,"(40.7143707275391, -73.8318786621094)",40.714370727539062,-73.831878662109375,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6350,Hwy 53 E & Richardson Rd,Starbucks,13430-107460,706-624-1083,CO,605 Highway 53,605 Highway 53,,,Calhoun,GA,US,307013919,"(34.4734954833984, -84.9252471923828)",34.473495483398438,-84.925247192382812,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6351,Hwy 1626 & I 35,Starbucks,14349-113650,512-268-6595,CO,"5401 South FM 1626, Kyle Marketplace",5401 South FM 1626,,Kyle Marketplace,Kyle,TX,US,786406038,"(30.0155906677246, -97.8635025024414)",30.015590667724609,-97.8635025024414,Central Standard Time,-360,GMT-06:00 America/Chicago,12/08/2013 10:41:59 PM
6352,Fry's #689 Marana,Starbucks,73868-106710,520-572-6040,LS,12100 North Thorneydale Road,12100 North Thorneydale Road,,,Marana,AZ,US,856584755,"(32.4066009521484, -111.295997619629)",32.406600952148438,-111.29599761962891,US Mountain Standard Time,-420,GMT+000000 America/Phoenix,12/08/2013 10:41:59 PM
6353,Fry's #679 Suahrita,Starbucks,73867-106707,520-648-7700,LS,15950 South Rancho Sahuarita,15950 South Rancho Sahuarita,,,Sahuarita,AZ,US,856298010,"(31.9603691101074, -110.986282348633)",31.960369110107422,-110.98628234863281,US Mountain Standard Time,-420,GMT+000000 America/Phoenix,12/08/2013 10:41:59 PM
6354,Harris Teeter-Selbyville #327,Starbucks,73836-100578,302-436-2827,LS,31221 Americana Parkway,31221 Americana Parkway,,,Selbyville,DE,US,199753785,"(38.4699554443359, -75.1141052246094)",38.469955444335938,-75.114105224609375,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6355,Dulles Town Center,Starbucks,13930-113465,(703)421-4334,CO,"21100 Dulles Town Circle, Dulles Town Center - kiosk",21100 Dulles Town Circle,,Dulles Town Center - kiosk,Dulles,VA,US,201662437,"(39.0319061279297, -77.4239654541016)",39.031906127929688,-77.423965454101562,Eastern Standard Time,-300,GMT-05:00 America/New_York,12/08/2013 10:41:59 PM
6356,Fred Meyer - Redondo #215,Starbucks,73843-108254,,LS,25250 Pacific Highway South,25250 Pacific Highway South,,,"Kent,",WA,US,980326539,"(47.3742561340332, -122.298835754395)",47.3742561340332,-122.29883575439453,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
6358,Newport Coast & San Joaquin Hills,Starbucks,14156-112404,949-720-1173,CO,"21155 Newport Coast Drive, Newport Coast Shopping Center",21155 Newport Coast Drive,,Newport Coast Shopping Center,Newport Coast,CA,US,926571123,"(33.6082344055176, -117.827392578125)",33.608234405517578,-117.827392578125,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles,12/08/2013 10:41:59 PM
